model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
gemma-2-2b-it,test,depth,late_frozen,160,160,316,0.6999771118164062,0.6042436981201171,0.8012762832641601,0.0142898559570312,-0.0173754119873046,0.0487621307373046,0.4841772151898734,0.4113599608673082,0.5520504731861199,-0.0411392405063291,-0.0668789808917197,-0.0189873417721519,316,0.4858458319291818,-0.0267365954687922,-0.0403165191326946,-0.0152113789329215,0.022302419451373,0.0318904366814965,1.0,0.2644808784127235,18.0,0.0,,1.0,25.0,0.99375,,,8,1.0,frozen
gemma-2-2b-it,test,depth,full_sequential,160,160,316,0.5679836273193359,0.4868163299560546,0.6608474731445312,-0.117703628540039,-0.182793960571289,-0.04503662109375,0.4936708860759494,0.4227006659656502,0.5615141955835962,-0.050632911392405,-0.0883350636904524,-0.0127388535031847,316,0.4931085823530353,-0.0339993458926457,-0.0611077227182466,-0.0072789267685703,0.0733135308524484,0.0390557581836853,1.0,0.6781064614653587,2.0,0.0,16.0,0.3875,9.0,0.175,8.0,0.25625,26,1.0,sequential
phi-4-mini-instruct,dev,depth,unedited,60,60,117,0.4166666666666667,0.328125,0.512552083333333,0.0,0.0,0.0,0.5897435897435898,0.4745762711864407,0.7008547008547008,-0.0,-0.0,-0.0,117,0.5601737971890731,-0.0,-0.0,-0.0,,,0.0,0.3569130937258402,,,,,,,,,0,,none
phi-4-mini-instruct,dev,depth,full_frozen,60,60,117,0.271875,0.2166666666666666,0.3270833333333333,-0.1447916666666666,-0.2281510416666666,-0.0655989583333334,0.7094017094017094,0.5948275862068966,0.8205128205128205,-0.1196581196581196,-0.211864406779661,-0.0256410256410256,117,0.67703030690528,-0.1168565097162068,-0.1711994932976732,-0.0672526332467493,0.0405431468980712,0.0220086855568054,1.0,1.549811311562856,0.0,0.0,16.0,0.5,7.0,0.1333333333333333,8.0,0.3833333333333333,32,1.0,frozen
phi-4-mini-instruct,dev,depth,early_frozen,60,60,117,0.2604166666666667,0.20625,0.3145833333333333,-0.15625,-0.2375260416666666,-0.078125,0.6837606837606838,0.5713972431077694,0.7863247863247863,-0.094017094017094,-0.1794871794871795,-0.008695652173913,117,0.6576579520309211,-0.097484154841848,-0.1473274670529394,-0.0524984465205903,0.0207913384743456,0.0386083550888404,1.0,0.5474950591723124,0.0,0.0,16.0,0.4833333333333333,7.0,0.15,,,11,1.0,frozen
phi-4-mini-instruct,dev,depth,middle_frozen,60,60,117,0.346875,0.26875,0.4291666666666666,-0.0697916666666666,-0.1197916666666666,-0.015625,0.6923076923076923,0.5811624649859944,0.7931034482758621,-0.1025641025641025,-0.1795258620689653,-0.0338983050847457,117,0.6467812626635,-0.0866074654744268,-0.1322823455623017,-0.0454720807761459,0.0150218853788232,0.0197947805826354,1.0,0.5489349206288655,11.0,0.0,29.0,0.9833333333333332,17.0,0.3833333333333333,,,11,1.0,frozen
phi-4-mini-instruct,dev,depth,late_frozen,60,60,117,0.4208333333333333,0.332265625,0.5166927083333333,0.0041666666666666,-0.0281510416666666,0.0333333333333333,0.6239316239316239,0.5130379041248607,0.7304512239678479,-0.0341880341880341,-0.0689655172413793,-0.0084745762711864,117,0.575159482701146,-0.0149856855120728,-0.0228536632454159,-0.0082453470105845,0.0528462913273382,0.031633569506418,1.0,0.5431203881899516,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
phi-4-mini-instruct,dev,depth,full_sequential,60,60,117,0.2802083333333333,0.2260416666666666,0.340625,-0.1364583333333333,-0.2229166666666666,-0.0541666666666666,0.7094017094017094,0.5966386554621849,0.8136150758251559,-0.1196581196581196,-0.2017543859649122,-0.0427350427350427,117,0.6574045199329401,-0.097230722743867,-0.1361304940902755,-0.0611673721832945,0.0362114837930375,0.0385174116221953,1.0,1.3954466740290323,0.0,0.0,16.0,0.55,8.0,0.1166666666666666,8.0,0.35,32,1.0,sequential
phi-4-mini-instruct,test,depth,unedited,160,160,317,0.408203125,0.350390625,0.473046875,0.0,0.0,0.0,0.6309148264984227,0.5628930817610063,0.6959247648902821,-0.0,-0.0,-0.0,317,0.5722755696307497,-0.0,-0.0,-0.0,,,0.0,0.3748576059937477,,,,,,,,,0,,none
phi-4-mini-instruct,test,depth,full_frozen,160,160,317,0.2953125,0.251943359375,0.3453125,-0.112890625,-0.1632910156249999,-0.059365234375,0.7287066246056783,0.6687245407348242,0.7911557121750588,-0.0977917981072555,-0.1473354231974921,-0.0536235442334781,317,0.6752557213476547,-0.1029801517169051,-0.1357614214937054,-0.0746150315527088,0.0403217513294656,0.0220330212185215,1.0,1.6055541902780532,0.0,0.0,16.0,0.55625,7.0,0.14375,8.0,0.44375,32,1.0,frozen
phi-4-mini-instruct,test,depth,early_frozen,160,160,317,0.286328125,0.240224609375,0.3382910156249999,-0.121875,-0.169921875,-0.06953125,0.722397476340694,0.661367028898973,0.7830188679245284,-0.0914826498422713,-0.1375107758620689,-0.0474646108693048,317,0.6605101575961045,-0.088234587965355,-0.1172092504330253,-0.0623695325941799,0.0234375019981679,0.0375817131708527,1.0,0.5698103547096253,0.0,0.0,16.0,0.56875,7.0,0.15625,,,11,1.0,frozen
phi-4-mini-instruct,test,depth,middle_frozen,160,160,317,0.393359375,0.341015625,0.4531347656249999,-0.01484375,-0.04375,0.0144628906249999,0.6908517350157729,0.625,0.7563291139240507,-0.0599369085173501,-0.0984126984126984,-0.0251572327044025,317,0.655061035457588,-0.0827854658268383,-0.1084905627267159,-0.0603306570826989,0.0140453009133555,0.0202681396996353,1.0,0.5727472469210625,11.0,0.0,18.0,0.98125,17.0,0.3375,,,11,1.0,frozen
