layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
7,535,4,11.231517152552309,9.404226798594761,0.1239865722893063,924.3868165476911,False,False,True,2296,0.5,50.0
7,482,5,9.798666745580807,8.204491267535477,0.07993157251201344,16.850801343317286,False,False,True,2296,0.5,50.0
8,334,1,84.01145089285714,67.76071196961324,0.11497021263678009,1032.4034449984636,True,True,True,2300,0.5,50.0
8,1570,2,25.014658273584054,20.17595263836523,0.12385265136003347,84.28606250182769,False,True,True,2300,0.5,50.0
8,1068,3,12.236242245981016,9.869327069208232,0.18349404387031912,117.75851794513724,False,True,True,2300,0.5,50.0
8,682,4,10.645428820853628,8.586232334480638,0.43626110775640364,70.17117165223932,False,False,True,2300,0.5,50.0
8,2106,5,10.587523371268489,8.539527814452605,0.33858680448278444,49.200476675708025,False,False,True,2300,0.5,50.0
9,334,1,102.2380109126984,70.85894623023007,0.09561286374848087,1053.479007547595,True,True,True,2300,0.5,50.0
9,1570,2,27.56055466777147,19.101622222937586,0.12880918540323974,80.05054300772845,False,True,True,2300,0.5,50.0
9,1170,3,18.926831385845055,13.117776016039949,0.20091974387691997,7.970400386050884,False,True,True,2300,0.5,50.0
9,1068,4,13.402888201208512,9.289250895052971,0.17393307250366682,111.58560540471238,False,True,True,2300,0.5,50.0
9,682,5,12.656702008928574,8.772085441573505,0.4173731418122591,65.84243797172469,False,False,True,2300,0.5,50.0
10,334,1,120.14478354978355,74.2217284853135,0.09955877665964706,1052.6784567934915,True,True,True,2303,0.5,50.0
10,1570,2,29.34275047489403,18.127043009382593,0.13430253663938058,76.29447735563157,False,True,True,2303,0.5,50.0
10,1170,3,28.983293844556055,17.90498182927205,0.18209015147316937,6.911291217944358,False,True,True,2303,0.5,50.0
10,682,4,14.692196899237913,9.076384482861437,0.40582629966604244,64.55686545476517,False,False,True,2303,0.5,50.0
10,1068,5,14.367445225130771,8.875762950502159,0.17670211453960116,110.58065948710973,False,True,True,2303,0.5,50.0
11,334,1,151.71785646645023,84.81293424922806,0.08205700412528612,1073.313567375158,True,True,True,2302,0.5,50.0
11,1170,2,40.143101494859295,22.440695557786704,0.16337734984498825,8.280446467054443,False,True,True,2302,0.5,50.0
11,1570,3,31.349187099792566,17.524743666869607,0.1426063689036924,71.55423782501053,False,True,True,2302,0.5,50.0
11,682,4,16.210277707318717,9.061828642804297,0.4009649827368469,60.93290564786054,False,False,True,2302,0.5,50.0
11,1068,5,15.838301964962117,8.853887699572118,0.17194011462981873,107.3313567375158,False,True,True,2302,0.5,50.0
12,334,1,141.68529040404036,74.60578771352579,0.09412546971642119,1137.369313368188,True,True,True,2302,0.5,50.0
12,1170,2,38.4523243226771,20.247450792728763,0.16698741471457337,4.706128813994527,False,True,True,2302,0.5,50.0
12,1570,3,32.86464563675258,17.30520344535282,0.14430977735679035,68.9793426163114,False,True,True,2302,0.5,50.0
12,682,4,18.098825798530086,9.530115310761394,0.38848072823886104,61.08094460681009,False,False,True,2302,0.5,50.0
12,1068,5,17.994512127412513,9.47518791794014,0.17605381003235648,110.57757213301828,False,True,True,2302,0.5,50.0
13,334,1,164.71441513347764,78.21588278665097,0.08096672099152334,1139.6581078580368,True,True,True,2302,0.5,50.0
13,1170,2,37.08969427816107,17.612321167534205,0.17362730180641192,3.9769319388796074,False,True,True,2302,0.5,50.0
13,1570,3,35.65921314145924,16.933046406875782,0.139553664686476,65.05548365689626,False,True,True,2302,0.5,50.0
13,1046,4,23.719765174062044,11.263509457128544,0.10634569558071469,15.789013369283218,False,False,True,2302,0.5,50.0
13,1068,5,21.60345919082003,10.258565593582611,0.17567805255580327,107.31780515663179,False,True,True,2302,0.5,50.0
14,334,1,180.79629960317465,82.17154535526598,0.08028142926606223,1178.0586551181243,True,True,True,2302,0.5,50.0
14,1170,2,37.459357113968935,17.02520056453387,0.1784337192456655,4.544979379313752,False,True,True,2302,0.5,50.0
14,1570,3,36.34199325847764,16.517360996294027,0.1384435100413167,62.266217496598394,False,True,True,2302,0.5,50.0
14,1046,4,24.93582369453463,11.333280449786313,0.10673683891487365,15.112056436218223,False,False,True,2302,0.5,50.0
14,1068,5,23.986958677173522,10.902023256020472,0.175608265246374,108.17050922766728,False,True,True,2302,0.5,50.0
15,334,1,206.43713564213562,87.52517613079229,0.08458148533810146,1221.0618330495358,True,True,True,2302,0.5,50.0
15,1570,2,39.4530052477904,16.727277398326358,0.1437064839795924,57.661253227339195,False,True,True,2302,0.5,50.0
15,1170,3,36.83981329671575,15.619336789336943,0.18214016229605626,3.4448359005303746,False,True,True,2302,0.5,50.0
15,1046,4,31.705076941287878,13.442312280175537,0.11379105659035349,12.931383995837098,False,False,True,2302,0.5,50.0
15,1068,5,27.74254355426474,11.762278154801072,0.17473467339063797,109.3867892106876,False,True,True,2302,0.5,50.0
16,334,1,213.39681863275615,78.1378011324242,0.08479195592853649,1130.708186948989,True,True,True,2303,0.5,50.0
16,1570,2,40.44410825611021,14.80909466289994,0.1468668140405418,50.164190936532215,False,True,True,2303,0.5,50.0
16,1170,3,36.28262757492617,13.285318666771424,0.17736872977247395,3.982011506823269,False,True,True,2303,0.5,50.0
16,1068,4,32.26743386713113,11.81510739812184,0.17664724223430472,95.20211418611953,False,True,True,2303,0.5,50.0
16,1046,5,31.73416015625,11.61984284152276,0.11635348909294503,11.900264273264941,False,False,True,2303,0.5,50.0
17,334,1,202.47096681096681,71.19962609626559,0.07946374505906405,1164.6764242055215,True,True,True,2303,0.5,50.0
17,1570,2,41.316113224882756,14.528956223679621,0.14925872282685654,47.47322381272506,False,True,True,2303,0.5,50.0
17,1170,3,35.22305027112644,12.386309251022604,0.18462375233945408,6.19789310888355,False,True,True,2303,0.5,50.0
17,1645,4,34.91876302083333,12.2793055714928,0.20836191861242304,77.71542564897955,False,False,True,2303,0.5,50.0
17,1068,5,34.43889543453508,12.11055845056829,0.18072893109793509,94.24314060600234,False,True,True,2303,0.5,50.0
18,334,1,208.0619696969697,62.29566424541085,0.09240112962993999,1029.9675876198073,True,True,True,2301,0.5,50.0
18,1570,2,42.15631020373941,12.62198637310981,0.15692213375127637,39.22260290063801,False,True,True,2301,0.5,50.0
18,1645,3,42.12950346094878,12.613960188166784,0.21160215019940676,65.27120177358081,False,False,True,2301,0.5,50.0
18,1068,4,37.11048446589218,11.11121981416782,0.18558536331548922,79.64284253106649,False,True,True,2301,0.5,50.0
18,1170,5,34.429492448198495,10.308506186001562,0.17978528409155906,4.659555401841061,False,True,True,2301,0.5,50.0
19,334,1,229.07351280663778,61.49305838718065,0.09736164234138082,953.5076347986073,True,True,True,2302,0.5,50.0
19,1393,2,58.61812443632756,15.735593802819015,0.08967925045600408,27.246910172313807,False,False,True,2302,0.5,50.0
19,1645,3,49.88606060606061,13.391537065851585,0.2002173347648893,56.10447513313878,False,False,True,2302,0.5,50.0
19,1570,4,42.506657936789765,11.410592024916063,0.165985239075845,33.42108686160659,False,True,True,2302,0.5,50.0
19,1068,5,40.27208521811305,10.81073781664722,0.18559287583696593,70.86881069449109,False,True,True,2302,0.5,50.0
20,334,1,238.45885010822514,57.25852691661974,0.09039122379699321,872.1126083883169,True,True,True,2303,0.5,50.0
20,1393,2,99.96450419372293,24.003387802486934,0.06333591140640067,29.534650559406106,False,False,True,2303,0.5,50.0
20,1645,3,47.779705875721504,11.472820462362906,0.21694374142673623,48.26394115805388,False,False,True,2303,0.5,50.0
20,1068,4,42.71517075751939,10.25672879600567,0.18105416862819004,63.87168332359369,False,True,True,2303,0.5,50.0
20,1570,5,42.39865155460859,10.180726486629148,0.17495420672933248,28.57417411844981,False,True,True,2303,0.5,50.0
21,334,1,271.8189646464646,56.604563276829005,0.09129788388241088,773.0002914140749,True,True,True,2303,0.5,50.0
21,1393,2,137.78662067099566,28.693183710032393,0.07113249062404621,29.570593044396183,False,True,True,2303,0.5,50.0
21,1645,3,59.79698051948052,12.452339269191866,0.18083731113378104,41.23223537176369,False,False,True,2303,0.5,50.0
21,1068,4,43.60897090322871,9.081289659607679,0.18483048850158618,55.80928828097308,False,True,True,2303,0.5,50.0
21,1570,5,42.16082589285715,8.779722710516339,0.18578577234234978,23.843893687206783,False,True,True,2303,0.5,50.0
22,334,1,278.01130772005774,51.78492571042566,0.09203104230077228,718.2537831895346,True,True,True,2302,0.5,50.0
22,1393,2,209.29878607503605,38.98590376435989,0.05396595140571196,26.636486254176205,False,True,True,2302,0.5,50.0
22,1068,3,44.11747341227566,8.217723595210243,0.18909533254776725,50.29266635403899,False,True,True,2302,0.5,50.0
22,1570,4,39.66793545105069,7.388912009604621,0.20278147292050072,20.862143080193952,False,True,True,2302,0.5,50.0
22,1170,5,34.11519996984352,6.354608776609857,0.1737014812548333,0.6868674340019214,False,True,True,2302,0.5,50.0
23,1393,1,287.75745310245304,48.320835761079934,0.04846739834127978,25.524159171193116,False,True,True,2302,0.5,50.0
23,334,2,246.04159677128422,41.315821570557716,0.09630174281329255,671.6883992419241,False,True,True,2302,0.5,50.0
23,1068,3,40.181590084719964,6.747376980750181,0.20401501571504382,45.00312274920891,False,True,True,2302,0.5,50.0
23,1570,4,36.310460541520115,6.097328779217674,0.20568851202811125,18.135586779531952,False,True,True,2302,0.5,50.0
23,1645,5,35.88669220102814,6.026168709649058,0.2769929305173134,26.36376967024552,False,False,True,2302,0.5,50.0
24,1393,1,452.2520544733044,67.58849092530123,0.0445751892562988,21.670064485571448,True,True,True,2298,0.5,50.0
24,334,2,138.50350965007217,20.699172314448493,0.12936909104648003,607.3596004783611,False,True,True,2298,0.5,50.0
24,1173,3,113.10880918560608,16.903966820264,0.09948157003540609,20.325026000260117,False,True,True,2298,0.5,50.0
24,816,4,61.23595776402417,9.151635541945748,0.19322319785119393,16.812981066391643,False,True,True,2298,0.5,50.0
24,1645,5,52.30880867830085,7.817484532566889,0.1859592607094934,19.727231117899528,False,False,True,2298,0.5,50.0
25,1173,1,43.10530091653139,41.65508488399405,0.08560587923634505,10.992304437752207,False,True,True,2299,0.5,50.0
25,816,2,30.555106916771656,29.527124163272283,0.22545556370727185,14.374551957060579,False,True,True,2299,0.5,50.0
25,833,3,25.66827574010191,24.804703413395128,0.31739961049116583,22.709376201070494,False,True,True,2299,0.5,50.0
25,593,4,18.04548421223959,17.438369774733065,0.1964565762268852,9.84475617227258,False,False,True,2299,0.5,50.0
25,1411,5,17.828796937180115,17.228972632294326,0.19234198684260506,7.428865087052316,False,False,True,2299,0.5,50.0
