model_name,target,predictor,decline_frac,coverage,n_declined,adverse_avoided_frac,loss_remaining_rate,precision_declined,suppression_coverage
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.0,1.0,0,0.0,0.050724637681159424,,1.0
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.05,0.95,14,0.2857142857142857,0.036231884057971016,0.2857142857142857,0.8769230769230769
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.1,0.9,28,0.2857142857142857,0.036231884057971016,0.14285714285714285,0.8461538461538461
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.15,0.85,41,0.42857142857142855,0.028985507246376812,0.14634146341463414,0.7692307692307693
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.2,0.8,55,0.6428571428571429,0.018115942028985508,0.16363636363636364,0.6615384615384615
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.25,0.75,69,0.6428571428571429,0.018115942028985508,0.13043478260869565,0.5230769230769231
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.3,0.7,83,0.7857142857142857,0.010869565217391304,0.13253012048192772,0.46153846153846156
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.35,0.65,97,0.7857142857142857,0.010869565217391304,0.1134020618556701,0.4153846153846154
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.4,0.6,110,0.7857142857142857,0.010869565217391304,0.1,0.35384615384615387
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.45,0.55,124,0.7857142857142857,0.010869565217391304,0.08870967741935484,0.3384615384615385
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.5,0.5,138,0.7857142857142857,0.010869565217391304,0.07971014492753623,0.3384615384615385
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.55,0.44999999999999996,152,0.7857142857142857,0.010869565217391304,0.07236842105263158,0.3076923076923077
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.6,0.4,166,0.7857142857142857,0.010869565217391304,0.06626506024096386,0.26153846153846155
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.65,0.35,179,0.7857142857142857,0.010869565217391304,0.061452513966480445,0.24615384615384617
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.7,0.30000000000000004,193,0.7857142857142857,0.010869565217391304,0.05699481865284974,0.2
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.75,0.25,207,0.8571428571428571,0.007246376811594203,0.057971014492753624,0.12307692307692308
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.8,0.19999999999999996,221,0.8571428571428571,0.007246376811594203,0.05429864253393665,0.12307692307692308
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.85,0.15000000000000002,235,0.8571428571428571,0.007246376811594203,0.05106382978723404,0.07692307692307693
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.9,0.09999999999999998,248,1.0,0.0,0.056451612903225805,0.07692307692307693
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,0.95,0.050000000000000044,262,1.0,0.0,0.05343511450381679,0.06153846153846154
qwen2.5-7b-instruct,new_error,4_baseline_plus_audit,1.0,0.0,276,1.0,0.0,0.050724637681159424,0.0
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.0,1.0,0,0.0,0.050724637681159424,,1.0
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.05,0.95,14,0.2857142857142857,0.036231884057971016,0.2857142857142857,0.8923076923076924
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.1,0.9,28,0.35714285714285715,0.03260869565217391,0.17857142857142858,0.7846153846153846
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.15,0.85,41,0.42857142857142855,0.028985507246376812,0.14634146341463414,0.7076923076923077
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.2,0.8,55,0.6428571428571429,0.018115942028985508,0.16363636363636364,0.6
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.25,0.75,69,0.6428571428571429,0.018115942028985508,0.13043478260869565,0.5384615384615384
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.3,0.7,83,0.7142857142857143,0.014492753623188406,0.12048192771084337,0.47692307692307695
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.35,0.65,97,0.7857142857142857,0.010869565217391304,0.1134020618556701,0.4307692307692308
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.4,0.6,110,0.7857142857142857,0.010869565217391304,0.1,0.36923076923076925
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.45,0.55,124,0.7857142857142857,0.010869565217391304,0.08870967741935484,0.35384615384615387
qwen2.5-7b-instruct,new_error,2b_baseline_plus_energy,0.5,0.5,138,0.7857142857142857,0.010869565217391304,0.07971014492753623,0.3230769230769231
