layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
21,546,2,44.45949585137084,49.224010367097904,0.10261993058619738,222.51254302566437,False,True,True,3071,0.5,50.0
22,2331,1,71.79059839466089,69.70678618584002,0.13731252356994,548.0175817313431,True,True,True,3072,0.5,50.0
22,546,2,48.35999526515151,46.956285715357076,0.13820520126337654,198.05436965565326,False,True,True,3072,0.5,50.0
23,2331,1,79.80094967532466,69.58394583969206,0.15308726491618227,488.6513682758975,True,True,True,3069,0.5,50.0
23,546,2,54.334828643578646,47.3782804456123,0.1546813995873402,177.8598551821488,False,True,True,3069,0.5,50.0
24,2331,1,89.54158211580088,71.1994348398654,0.14595485829202975,442.42423027178586,True,True,True,3068,0.5,50.0
24,546,2,62.24731872294372,49.496265407046906,0.14665898526534377,161.39658184654158,False,True,True,3068,0.5,50.0
25,2331,1,97.01239898989898,71.17460298062817,0.14638698237542086,402.34189321140843,True,True,True,3067,0.5,50.0
25,546,2,68.61534429112552,50.34067747163393,0.13953071509426018,147.44832601780234,True,True,True,3067,0.5,50.0
26,2331,1,103.19335768398268,69.19453152763064,0.15645224590867868,367.7201899560104,True,True,True,3068,0.5,50.0
26,546,2,72.94368258477633,48.91113204989949,0.1488236932271509,136.7719287860635,False,True,True,3068,0.5,50.0
27,2331,1,115.67996843434346,71.68707394446334,0.14879294818613426,334.88680264963494,True,True,True,3069,0.5,50.0
27,546,2,81.82854910714283,50.7092915913207,0.1444912612213558,125.16425234115474,True,True,True,3069,0.5,50.0
28,2331,1,115.99469381313129,67.11832206320665,0.1392576188753096,310.3785765640632,True,True,True,3068,0.5,50.0
28,546,2,81.39909226190477,47.10017596915894,0.13652713958078666,117.44797087638094,False,True,True,3068,0.5,50.0
29,2331,1,105.73449990981237,53.52249218628364,0.1257657009142767,262.8175095812753,True,True,True,3071,0.5,50.0
29,546,2,73.62767158189035,37.27011032631059,0.12297894198493606,98.69577028237511,False,True,True,3071,0.5,50.0
30,719,1,52.38699010191198,17.84226891345636,0.10462271549473061,0.49797380225292787,False,True,True,3072,0.5,50.0
30,2331,2,18.598702876984127,6.334455511321958,0.18415026255073186,13.146614812563538,False,False,True,3072,0.5,50.0
31,2216,1,4.58968287436305,6.945340040973527,0.16625295185105057,8.844240010150896,False,False,True,3071,0.5,50.0
31,2543,2,4.129822582338451,6.249456210460407,0.20247181368376693,3.8431243434030242,False,False,True,3071,0.5,50.0
