model_name,quantity,n_clusters,estimate,lo,hi,n_seeds,n_first_token_disambiguating,dev_target,alpha,n_edited_mean
gemma-2-2b-it,H4 by category: Nationality,6,-0.041666666666666664,-0.125,0.0,12,,,,
gemma-2-2b-it,H1 by category: Physical_appearance,8,-0.13954179085973323,-0.24895906473499,-0.04650415925474944,16,,,,
gemma-2-2b-it,H4 by category: Physical_appearance,8,-0.1875,-0.3125,-0.09375,16,,,,
gemma-2-2b-it,H1 by category: Race_ethnicity,21,0.06524398547897313,-0.005371899488134447,0.13397287797143698,42,,,,
gemma-2-2b-it,H4 by category: Race_ethnicity,21,-0.023809523809523808,-0.07142857142857142,0.023809523809523808,42,,,,
gemma-2-2b-it,H1 by category: Religion,8,0.05280235460185546,-0.0460319640860935,0.1682909741029931,16,,,,
gemma-2-2b-it,H4 by category: Religion,8,0.0,-0.09375,0.09375,16,,,,
gemma-2-2b-it,H1 by category: SES,8,-0.026737697882519437,-0.11133800416026839,0.03615284511722047,16,,,,
gemma-2-2b-it,H4 by category: SES,8,-0.0625,-0.15625,0.0,16,,,,
gemma-2-2b-it,H1 by category: Sexual_orientation,4,-0.02486336051871683,-0.10393893112086579,0.026381639039231124,8,,,,
gemma-2-2b-it,H4 by category: Sexual_orientation,4,-0.0625,-0.1875,0.0,8,,,,
gemma-2-2b-it,diag32 perm: T_B - T_S1,28,0.03388282679727049,-0.013755067986518122,0.09057367920514048,32,,,,
gemma-2-2b-it,diag32 label: T_B - T_S1,28,0.007257512539817385,-0.06302902487216026,0.08909939311325532,32,,,,
gemma-2-2b-it,length-normalised T_B - T_S1,80,-0.007473351686971397,-0.016840313527415465,0.001135821679528705,160,,,,
gemma-2-2b-it,"achieved energy S1 (test, / dev denominator)",80,0.027671536284236558,0.007764322953541022,0.0876825268869521,160,,0.00038856788514713314,1.0,3.39375
gemma-2-2b-it,"achieved energy SE (test, / dev denominator)",80,0.0013515858377026978,0.0007591662607620117,0.0026815238378860946,160,,0.00038856788514713314,0.11171170931623985,3.39375
gemma-2-2b-it,"achieved energy NE (test, / dev denominator)",79,0.0013787913028862008,0.0006392279340840899,0.003131762227160131,153,,0.00038856788514713314,0.134336216900742,3.156862745098039
gemma-2-2b-it,"achieved energy RE (test, / dev denominator)",80,0.0013374064489435945,0.0005565184430009201,0.003910671454375192,160,,0.00038856788514713314,1.0,3.39375
gemma-2-2b-it,"achieved energy RNE (test, / dev denominator)",79,0.001297322030996298,0.0005501415150442206,0.003097988138818519,153,,0.00038856788514713314,0.9305990447595787,3.156862745098039
gemma-2-2b-it,"achieved energy G1 (test, / dev denominator)",80,2.8830101678989655,2.6960003124151943,3.0856510576361296,160,,0.00038856788514713314,1.0,218.65
llama-3.1-8b-instruct,T_S1 - T_B,80,-0.05525791858114448,-0.08444946991123477,-0.024651469474056054,160,,,,
llama-3.1-8b-instruct,acc_S1 - acc_B,80,-0.040625,-0.071875,-0.0125,160,,,,
llama-3.1-8b-instruct,bothcorrect_S1 - bothcorrect_B,80,-0.0375,-0.075,-0.00625,160,,,,
llama-3.1-8b-instruct,scoreacc_S1 - scoreacc_B,80,-0.0125,-0.040625,0.01875,160,,,,
llama-3.1-8b-instruct,flipvalid_S1 - flipvalid_B,80,0.0,-0.0625,0.05625,160,,,,
llama-3.1-8b-instruct,failcons_S1 - failcons_B,80,0.00625,-0.05625,0.0625,160,,,,
llama-3.1-8b-instruct,validity_S1 - validity_B,80,-0.003125,-0.009375,0.0,160,,,,
llama-3.1-8b-instruct,T_SE - T_B,80,-0.03117505636219648,-0.05035347686249462,-0.011826645147701606,160,,,,
llama-3.1-8b-instruct,acc_SE - acc_B,80,-0.01875,-0.0375,-0.003125,160,,,,
llama-3.1-8b-instruct,bothcorrect_SE - bothcorrect_B,80,-0.01875,-0.04375,0.00625,160,,,,
llama-3.1-8b-instruct,scoreacc_SE - scoreacc_B,80,0.01875,-0.003125,0.04375,160,,,,
llama-3.1-8b-instruct,flipvalid_SE - flipvalid_B,80,0.0125,-0.03125,0.05625,160,,,,
llama-3.1-8b-instruct,failcons_SE - failcons_B,80,0.0125,-0.03125,0.05625,160,,,,
llama-3.1-8b-instruct,validity_SE - validity_B,80,0.0,0.0,0.0,160,,,,
llama-3.1-8b-instruct,T_NE - T_B,79,0.0006226557874619956,-0.004396503550557419,0.0056504862401991545,155,,,,
llama-3.1-8b-instruct,acc_NE - acc_B,79,0.0031645569620253164,-0.00949367088607595,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,bothcorrect_NE - bothcorrect_B,79,0.006329113924050633,0.0,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,scoreacc_NE - scoreacc_B,79,-0.0031645569620253164,-0.0189873417721519,0.012658227848101266,155,,,,
llama-3.1-8b-instruct,flipvalid_NE - flipvalid_B,79,-0.006329113924050633,-0.03164556962025317,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,failcons_NE - failcons_B,79,-0.006329113924050633,-0.03164556962025317,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,validity_NE - validity_B,79,0.0,0.0,0.0,155,,,,
llama-3.1-8b-instruct,T_RE - T_B,80,-0.00046125017474329814,-0.005963556046596192,0.004789709682257262,160,,,,
llama-3.1-8b-instruct,acc_RE - acc_B,80,0.0,-0.0125,0.0125,160,,,,
llama-3.1-8b-instruct,bothcorrect_RE - bothcorrect_B,80,0.00625,0.0,0.01875,160,,,,
llama-3.1-8b-instruct,scoreacc_RE - scoreacc_B,80,0.009375,-0.009375,0.03125,160,,,,
llama-3.1-8b-instruct,flipvalid_RE - flipvalid_B,80,-0.01875,-0.05,0.00625,160,,,,
llama-3.1-8b-instruct,failcons_RE - failcons_B,80,-0.01875,-0.05,0.00625,160,,,,
llama-3.1-8b-instruct,validity_RE - validity_B,80,0.0,0.0,0.0,160,,,,
llama-3.1-8b-instruct,T_RNE - T_B,79,0.002477309741802575,-0.002616987304930147,0.007649386507745637,155,,,,
llama-3.1-8b-instruct,acc_RNE - acc_B,79,0.006329113924050633,0.0,0.015822784810126583,155,,,,
llama-3.1-8b-instruct,bothcorrect_RNE - bothcorrect_B,79,0.006329113924050633,0.0,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,scoreacc_RNE - scoreacc_B,79,0.006329113924050633,-0.00949367088607595,0.022151898734177215,155,,,,
llama-3.1-8b-instruct,flipvalid_RNE - flipvalid_B,79,0.0,-0.0189873417721519,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,failcons_RNE - failcons_B,79,0.0,-0.0189873417721519,0.0189873417721519,155,,,,
llama-3.1-8b-instruct,validity_RNE - validity_B,79,0.0,0.0,0.0,155,,,,
llama-3.1-8b-instruct,T_G1 - T_B,80,0.008072261375195056,-0.028335287770308873,0.04562961953246325,160,,,,
llama-3.1-8b-instruct,acc_G1 - acc_B,80,-0.215625,-0.28125,-0.15,160,,,,
llama-3.1-8b-instruct,bothcorrect_G1 - bothcorrect_B,80,-0.23125,-0.3,-0.1625,160,,,,
llama-3.1-8b-instruct,scoreacc_G1 - scoreacc_B,80,0.315625,0.228125,0.40625,160,,,,
llama-3.1-8b-instruct,flipvalid_G1 - flipvalid_B,80,-0.01875,-0.075,0.0375,160,,,,
llama-3.1-8b-instruct,failcons_G1 - failcons_B,80,0.2625,0.175,0.35,160,,,,
llama-3.1-8b-instruct,validity_G1 - validity_B,80,-0.225,-0.29375,-0.159375,160,,,,
llama-3.1-8b-instruct,T_LC - T_B (gender-eligible subset),5,-0.05240068901841338,-0.12073566137350422,-0.0035951340908357207,10,,,,
llama-3.1-8b-instruct,acc_LC - acc_B (gender-eligible subset),5,0.05,0.0,0.15,10,,,,
llama-3.1-8b-instruct,T_MC - T_B (gender-eligible subset),5,-0.082009438120468,-0.13450462893252904,-0.02951424730840695,10,,,,
llama-3.1-8b-instruct,acc_MC - acc_B (gender-eligible subset),5,0.05,0.0,0.15,10,,,,
llama-3.1-8b-instruct,control acc_S1 - acc_B,10,-0.4375,-0.65,-0.2375,36,,,,
llama-3.1-8b-instruct,control T_S1 - T_B,10,0.11519819530985212,0.0379215444140396,0.1996828255825177,36,,,,
llama-3.1-8b-instruct,control acc_NE - acc_B,10,0.0,0.0,0.0,36,,,,
llama-3.1-8b-instruct,control T_NE - T_B,10,0.00540195557133313,-0.004528803024488677,0.014606009702963215,36,,,,
llama-3.1-8b-instruct,control acc_B,10,0.8375,0.7,0.9625,36,,,,
llama-3.1-8b-instruct,control acc_S1,10,0.4,0.2375,0.5875,36,,,,
llama-3.1-8b-instruct,control acc_NE,10,0.8375,0.7,0.9625,36,,,,
llama-3.1-8b-instruct,level T_B,80,0.14127486317752852,0.12156296884203278,0.16128568474591665,160,,,,
llama-3.1-8b-instruct,level acc_B,80,0.684375,0.609375,0.75625,160,,,,
llama-3.1-8b-instruct,level validity_B,80,1.0,1.0,1.0,160,,,,
llama-3.1-8b-instruct,level T_S1,80,0.08601694459638401,0.06683856314734209,0.10833226422619803,160,,,,
llama-3.1-8b-instruct,level acc_S1,80,0.64375,0.5625,0.721875,160,,,,
llama-3.1-8b-instruct,level validity_S1,80,0.996875,0.990625,1.0,160,,,,
llama-3.1-8b-instruct,level T_SE,80,0.11009980681533202,0.0934688662985359,0.12761092546297087,160,,,,
llama-3.1-8b-instruct,level acc_SE,80,0.665625,0.5875,0.740625,160,,,,
llama-3.1-8b-instruct,level validity_SE,80,1.0,1.0,1.0,160,,,,
llama-3.1-8b-instruct,level T_NE,79,0.14357872988533266,0.12379815705740635,0.1638967839577951,155,,,,
llama-3.1-8b-instruct,level acc_NE,79,0.6867088607594937,0.6107594936708861,0.759493670886076,155,,,,
llama-3.1-8b-instruct,level validity_NE,79,1.0,1.0,1.0,155,,,,
llama-3.1-8b-instruct,level T_RE,80,0.14081361300278522,0.12159389528039381,0.16101074094171253,160,,,,
llama-3.1-8b-instruct,level acc_RE,80,0.684375,0.609375,0.75625,160,,,,
llama-3.1-8b-instruct,level validity_RE,80,1.0,1.0,1.0,160,,,,
llama-3.1-8b-instruct,level T_RNE,79,0.14543338383967322,0.12642491335206066,0.16526933853778852,155,,,,
llama-3.1-8b-instruct,level acc_RNE,79,0.689873417721519,0.6139240506329114,0.7626582278481012,155,,,,
llama-3.1-8b-instruct,level validity_RNE,79,1.0,1.0,1.0,155,,,,
llama-3.1-8b-instruct,level T_G1,80,0.14934712455272353,0.11806960274068916,0.18286550422982506,160,,,,
llama-3.1-8b-instruct,level acc_G1,80,0.46875,0.3875,0.55,160,,,,
