layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
11,334,1,151.82393465909087,84.80058723651096,0.08192818854933417,1072.4075084715369,True,True,True,2302,0.5,50.0
11,1170,2,40.13341756361045,22.416342883249637,0.1626281467145751,8.273456364184709,False,True,True,2302,0.5,50.0
12,334,1,141.75405663780663,74.60935216870121,0.0942800905618016,1136.871878708643,True,True,True,2302,0.5,50.0
12,1170,2,38.445450392774006,20.234977507330058,0.16612491914584837,4.704070562943748,False,True,True,2302,0.5,50.0
13,334,1,164.77674851190477,78.23502728554247,0.0809741103346466,1139.5058294388932,True,True,True,2302,0.5,50.0
13,1170,2,37.08475813872542,17.607624201003773,0.1727673251802939,3.9764005506461375,False,True,True,2302,0.5,50.0
14,334,1,180.87870174963922,82.18717934142161,0.080358528200064,1177.7460076412215,True,True,True,2302,0.5,50.0
14,1170,2,37.44694836549085,17.015043956714432,0.17759790314643872,4.543773177628169,False,True,True,2302,0.5,50.0
15,334,1,206.49745129870138,87.51247193215107,0.08442199316352858,1220.5279899557777,True,True,True,2302,0.5,50.0
15,1570,2,39.4518040618236,16.719455247120397,0.14391396403231196,57.63604397013395,False,False,True,2302,0.5,50.0
16,334,1,213.44407918470424,78.16333733176339,0.08461655709516444,1130.8272714916434,True,True,True,2303,0.5,50.0
16,1570,2,40.441379841946244,14.809655188479669,0.1470004960498383,50.16947415620309,False,False,True,2303,0.5,50.0
17,334,1,202.488014069264,71.19966811568604,0.0793612048041514,1164.5790585831355,True,True,True,2303,0.5,50.0
17,1570,2,41.31187170251623,14.526250197953992,0.14942212573341526,47.46925510529085,False,False,True,2303,0.5,50.0
18,334,1,208.05776966089465,62.243860267912034,0.09247396189342502,1029.131859245639,True,True,True,2301,0.5,50.0
18,1645,2,42.15762817911256,12.612139031789665,0.2119402191410506,65.21823991731084,False,False,True,2301,0.5,50.0
19,334,1,229.10788645382408,61.482526859680966,0.09735862099962521,953.2013008622545,True,True,True,2302,0.5,50.0
19,1393,2,58.61702583874459,15.730243604213888,0.08996280474260822,27.238156542094266,False,False,True,2302,0.5,50.0
20,334,1,238.4665485209235,57.24737841573586,0.09037271118877432,871.9146550976693,True,True,True,2303,0.5,50.0
20,1393,2,99.98349048520926,24.00249741791639,0.0637108104340478,29.52794674477239,False,False,True,2303,0.5,50.0
21,334,1,271.8424134199133,56.60945631184237,0.09130901025795647,773.0004276594091,True,True,True,2303,0.5,50.0
21,1393,2,137.8245607864358,28.701089555464733,0.07141403954152326,29.57059825636748,False,False,True,2303,0.5,50.0
22,334,1,277.9964628427129,51.79167773303539,0.09207091124865853,718.3857927414613,True,True,True,2302,0.5,50.0
22,1393,2,209.32070887445883,38.997153366696764,0.05429409830056622,26.64138183662577,False,False,True,2302,0.5,50.0
23,1393,1,287.7628914141414,48.28830607720581,0.048642775446789265,25.506494210096005,False,False,True,2302,0.5,50.0
23,334,2,246.02573683261184,41.284566000365906,0.09634931550164852,671.2235318446317,False,True,True,2302,0.5,50.0
24,1393,1,452.2425324675325,67.58639936052387,0.04478692279565702,21.669850143914818,True,True,True,2298,0.5,50.0
24,334,2,138.47294101731603,20.69439917815444,0.12902942047327498,607.3535929991023,False,False,True,2298,0.5,50.0
25,1173,1,43.100890250157825,41.65629227154703,0.08574808015173806,10.993747967586641,False,False,True,2299,0.5,50.0
25,816,2,30.585991152808788,29.560850819588097,0.22490180449671948,14.376439649920993,False,True,True,2299,0.5,50.0
