study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,llama-3.1-8b-instruct,random_ortho_3_r1_a1,mean |C_logp|,0.3032207369804382,160.0,160.0,0.2490426155924797,0.36391767978668216
A1,llama-3.1-8b-instruct,random_ortho_3_r1_a1,mean |C_margin|,0.15113818570028378,160.0,160.0,0.12205928435808497,0.18144240394423278
A1,llama-3.1-8b-instruct,unedited_r0_a0,mean |C_raw|,0.15823893547058104,160.0,160.0,0.1280387043952942,0.1922858989238739
A1,llama-3.1-8b-instruct,unedited_r0_a0,mean |C_logp|,0.2971067070960999,160.0,160.0,0.24313018828630448,0.3590535929799079
A1,llama-3.1-8b-instruct,unedited_r0_a0,mean |C_margin|,0.1621441584599169,160.0,160.0,0.13185372269606288,0.1933532015243663
A1,qwen2.5-7b-instruct,-,"reproduction: corr(C_raw, stored C)",1.0,,,,
A1,qwen2.5-7b-instruct,-,reproduction: median |C_raw - stored C|,0.0,,,,
A1,qwen2.5-7b-instruct,unedited_r0_a0,reproduction: mean|C_raw| / mean|stored C|,1.0,,,,
A1,qwen2.5-7b-instruct,cure_centred_svd_r1_a1,reproduction: mean|C_raw| / mean|stored C|,1.0,,,,
A1,qwen2.5-7b-instruct,cure_centred_svd_r1_a1,"mean logit shift (patched - clean, mean over vocab)",0.014411998171362938,160.0,160.0,-0.02805920150300153,0.05905023258383608
A1,qwen2.5-7b-instruct,cure_centred_svd_r1_a1,log-partition shift LSE(patched) - LSE(clean),0.11459571123123169,160.0,160.0,-0.06749914407730102,0.30777229338884354
A1,qwen2.5-7b-instruct,cure_centred_svd_r1_a1,mean |C_raw|,0.5872692108154297,160.0,160.0,0.48566872596740723,0.699726161956787
A1,qwen2.5-7b-instruct,cure_centred_svd_r1_a1,mean |C_logp|,1.1266528129577638,160.0,160.0,0.9449892082810403,1.328819315135479
A1,qwen2.5-7b-instruct,cure_centred_svd_r1_a1,mean |C_margin|,0.6727362673778039,160.0,160.0,0.49761320495760286,0.8723225098538706
A1,qwen2.5-7b-instruct,leace_faithful_r1_a1,mean |C_raw|,0.6674274444580078,160.0,160.0,0.5508276009559631,0.7964751100540161
A1,qwen2.5-7b-instruct,leace_faithful_r1_a1,mean |C_logp|,1.3159934759140015,160.0,160.0,1.119403857588768,1.527526423037052
A1,qwen2.5-7b-instruct,leace_faithful_r1_a1,mean |C_margin|,0.8462672078764284,160.0,160.0,0.6120454150747943,1.1226963386520161
A1,qwen2.5-7b-instruct,leace_sequential_r1_a1,mean |C_raw|,0.6397724628448487,160.0,160.0,0.5279916572570801,0.7613612747192382
A1,qwen2.5-7b-instruct,leace_sequential_r1_a1,mean |C_logp|,1.284543764591217,160.0,160.0,1.096955012381077,1.4849880671501159
A1,qwen2.5-7b-instruct,leace_sequential_r1_a1,mean |C_margin|,0.8266938773842601,160.0,160.0,0.5957668706774711,1.0988523061109052
A1,qwen2.5-7b-instruct,leace_swap_300_r1_a1,mean |C_raw|,0.6481803894042969,160.0,160.0,0.5318231391906738,0.7761975479125975
A1,qwen2.5-7b-instruct,leace_swap_300_r1_a1,mean |C_logp|,1.2637731432914734,160.0,160.0,1.0728691691160201,1.4719040477275847
A1,qwen2.5-7b-instruct,leace_swap_300_r1_a1,mean |C_margin|,0.830170352737625,160.0,160.0,0.5910388424411996,1.1133313983291773
A1,qwen2.5-7b-instruct,leace_swap_max_noshrink_r1_a1,mean |C_raw|,0.6538068294525147,160.0,160.0,0.5395477485656738,0.7779386484622954
A1,qwen2.5-7b-instruct,leace_swap_max_noshrink_r1_a1,mean |C_logp|,1.2881449222564698,160.0,160.0,1.0974835738539697,1.4941411587595939
